"Proportion_N","CutoffValue","N_count","Replicate","no_of_taxa","individuals_per_taxa","effective_population_size","species_birth_rate","tree_wide_sub_rate","no_of_sites","exponential_growth_rate","ado","amplification_error","sequencing_errors","Replicate.y","scSEQ_score","vcfbulk_seq_score","hapcon_seq_score","hapcon_IUPAC_seq_score","total_sites"
0.142857142857143,0,383439,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0116215170004691,0.05,31193,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0116215170004691,0.1,31193,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00416866456314713,0.15,11189,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00416866456314713,0.2,11189,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00416866456314713,0.25,11189,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00151896017731261,0.3,4077,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00151896017731261,0.35,4077,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00151896017731261,0.4,4077,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00349841453641537,0.45,9390,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00349841453641537,0.5,9390,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.00349841453641537,0.55,9390,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0159444247604294,0.6,42796,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0159444247604294,0.65,42796,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.0159444247604294,0.7,42796,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.030832991502094,0.75,82758,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.030832991502094,0.8,82758,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
0.030832991502094,0.85,82758,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,-1,2684073
