"Proportion_ALL","CutoffValue","ALL_count","Replicate","no_of_taxa","individuals_per_taxa","effective_population_size","species_birth_rate","tree_wide_sub_rate","no_of_sites","exponential_growth_rate","ado","amplification_error","sequencing_errors","Replicate.y","scSEQ_score","hapcon_seq_score","vcfbulk_seq_score","f_ALL"
7,"0",383439,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,7
3.2280701754386,"0.05",176824,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,3.2280701754386
3.2280701754386,"0.1",176824,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,3.2280701754386
2.53434835788743,"0.15",138824,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.53434835788743
2.53434835788743,"0.2",138824,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.53434835788743
2.53434835788743,"0.25",138824,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.53434835788743
2.18277744308743,"0.3",119566,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.18277744308743
2.18277744308743,"0.35",119566,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.18277744308743
2.18277744308743,"0.4",119566,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.18277744308743
2.00478302937364,"0.45",109816,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.00478302937364
2.00478302937364,"0.5",109816,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.00478302937364
2.00478302937364,"0.55",109816,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.00478302937364
2.28493710864049,"0.6",125162,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.28493710864049
2.28493710864049,"0.65",125162,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.28493710864049
2.28493710864049,"0.7",125162,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.28493710864049
2.61047519944502,"0.75",142994,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.61047519944502
2.61047519944502,"0.8",142994,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.61047519944502
2.61047519944502,"0.85",142994,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,2.61047519944502
3.2280701754386,"0.9",176824,"r1",7,7,10397,7.55197594250197e-05,4.24286605264667e-06,54777,1.8704430612165e-05,0.0717765100768302,0.0841479446067498,0.0135211850786582,"r1",-1,-1,-1,3.2280701754386
