"Proportion_N","CutoffValue","N_count","Replicate","no_of_taxa","individuals_per_taxa","effective_population_size","species_birth_rate","tree_wide_sub_rate","no_of_sites","exponential_growth_rate","ado","amplification_error","sequencing_errors","Replicate.y","scSEQ_score","hapcon_seq_score","vcfbulk_seq_score"
9,"0",431757,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.194255101828112,"0.05",9319,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.194255101828112,"0.1",9319,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.194255101828112,"0.15",9319,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.0143205553123632,"0.2",687,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.0143205553123632,"0.25",687,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.0143205553123632,"0.3",687,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.00410647655973152,"0.35",197,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.00410647655973152,"0.4",197,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.00410647655973152,"0.45",197,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.00410647655973152,"0.5",197,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.071477706209743,"0.55",3429,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.071477706209743,"0.6",3429,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.071477706209743,"0.65",3429,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.352844308256728,"0.7",16927,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.352844308256728,"0.75",16927,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
0.352844308256728,"0.8",16927,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
1.03962645654848,"0.85",49874,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
1.03962645654848,"0.9",49874,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
1.03962645654848,"0.95",49874,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
1.03962645654848,"1",49874,"r1",9,6,10157,6.17035938254825e-06,3.3212123422618e-07,47973,0.000512012044660305,0.109612219535979,0.00127575744586764,0.0106702451693127,"r1",-1,-1,-1
10,"0",226700,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
3.60635200705779,"0.05",81756,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
3.60635200705779,"0.1",81756,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
3.60635200705779,"0.15",81756,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
1.41835024261138,"0.2",32154,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
1.41835024261138,"0.25",32154,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
1.41835024261138,"0.3",32154,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
0.500132333480371,"0.35",11338,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
0.500132333480371,"0.4",11338,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
0.500132333480371,"0.45",11338,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
0.500132333480371,"0.5",11338,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
1.63215703573004,"0.55",37001,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
1.63215703573004,"0.6",37001,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
1.63215703573004,"0.65",37001,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
3.49686810763123,"0.7",79274,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
3.49686810763123,"0.75",79274,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
3.49686810763123,"0.8",79274,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
6.08134097926775,"0.85",137864,"r1",10,6,10463,7.88793943433941e-06,9.42663583647842e-06,22670,0.000227980873063393,0.0020357165611349,0.0318090797164256,0.0138673898620764,"r1",-1,-1,-1
